,hero_name,stat_name,stat_category
25,Echo,All Damage Done,general
26,Echo,Average Time Alive,general
27,Echo,Critical Hit Accuracy,some_shared
28,Echo,Critical Hits,some_shared
29,Echo,Damage - Sticky Bombs,hero_specific
30,Echo,Damage - Weapon,some_shared
31,Echo,Damage Taken,general
32,Echo,Deaths,general
33,Echo,Healing Received,general
34,Echo,Hero Damage Done,general
35,Echo,Quick Melee Ticks,some_shared
36,Echo,Shots Fired,some_shared
38,Echo,Shots Hit,some_shared
39,Echo,Shots Missed,some_shared
40,Echo,Sticky Bombs Direct Hit Accuracy,hero_specific
41,Echo,Sticky Bombs Direct Hits,hero_specific
42,Echo,Sticky Bombs Useds,hero_specific
43,Echo,Time Alive,general
44,Echo,Time Building Ultimate,general
45,Echo,Time Elapsed per Ultimate Earned,general
46,Echo,Time Played,general
47,Echo,Ultimates Earned - Fractional,general
48,Echo,Weapon Accuracy,some_shared
49,Mei,All Damage Done,general
50,Mei,Assists,general
51,Mei,Average Time Alive,general
52,Mei,Barrier Damage Done,general
53,Mei,Blizzard Efficiency,hero_specific
54,Mei,Blizzard Kills,hero_specific
55,Mei,Critical Hit Accuracy,some_shared
56,Mei,Critical Hits,some_shared
57,Mei,Damage - Blizzard,hero_specific
58,Mei,Damage - Weapon Primary,some_shared
59,Mei,Damage - Weapon Secondary,some_shared
60,Mei,Damage Blocked,some_shared
61,Mei,Damage Taken,general
62,Mei,Deaths,general
63,Mei,Eliminations,general
64,Mei,Enemies Frozen,hero_specific
65,Mei,Freeze Spray Damage,hero_specific
66,Mei,Healing Received,general
67,Mei,Hero Damage Done,general
68,Mei,Icicle Damage,hero_specific
69,Mei,Objective Time,general
70,Mei,Offensive Assists,some_shared
71,Mei,Quick Melee Ticks,some_shared
72,Mei,Self Healing,some_shared
74,Mei,Self Healing Percent of Damage Taken,some_shared
75,Mei,Shots Fired,some_shared
76,Mei,Shots Hit,some_shared
77,Mei,Shots Missed,some_shared
78,Mei,Successful Freezes,hero_specific
79,Mei,Time Alive,general
80,Mei,Time Building Ultimate,general
81,Mei,Time Elapsed per Ultimate Earned,general
82,Mei,Time Hacked,some_shared
83,Mei,Time Holding Ultimate,general
84,Mei,Time Played,general
85,Mei,Total Time Frozen,hero_specific
86,Mei,Ultimates Earned - Fractional,general
87,Mei,Ultimates Used,general
88,Mei,Weapon Accuracy,some_shared
89,Reaper,All Damage Done,general
90,Reaper,Average Time Alive,general
91,Reaper,Barrier Damage Done,general
92,Reaper,Damage - Weapon,some_shared
93,Reaper,Damage Taken,general
94,Reaper,Deaths,general
95,Reaper,Healing Received,general
96,Reaper,Hero Damage Done,general
97,Reaper,Self Healing,some_shared
98,Reaper,Self Healing Percent of Damage Taken,some_shared
99,Reaper,Shots Fired,some_shared
100,Reaper,Shots Hit,some_shared
101,Reaper,Shots Missed,some_shared
102,Reaper,Time Alive,general
103,Reaper,Time Building Ultimate,general
104,Reaper,Time Elapsed per Ultimate Earned,general
105,Reaper,Time Played,general
106,Reaper,Ultimates Earned - Fractional,general
107,Reaper,Weapon Accuracy,some_shared
108,Sombra,All Damage Done,general
109,Sombra,Assists,general
110,Sombra,Average Time Alive,general
111,Sombra,Barrier Damage Done,general
112,Sombra,Critical Hit Accuracy,some_shared
113,Sombra,Critical Hits,some_shared
114,Sombra,Damage - EMP,hero_specific
115,Sombra,Damage - Quick Melee,some_shared
116,Sombra,Damage - Weapon,some_shared
117,Sombra,Damage Taken,general
118,Sombra,Deaths,general
119,Sombra,EMP Efficiency,hero_specific
120,Sombra,Eliminations,general
121,Sombra,Enemies EMP'd,hero_specific
122,Sombra,Enemies Hacked,hero_specific
123,Sombra,Final Blows,general
124,Sombra,Healing Received,general
125,Sombra,Hero Damage Done,general
126,Sombra,Objective Kills,general
127,Sombra,Objective Time,general
128,Sombra,Offensive Assists,some_shared
129,Sombra,Quick Melee Accuracy,some_shared
130,Sombra,Quick Melee Hits,some_shared
131,Sombra,Quick Melee Ticks,some_shared
132,Sombra,Shots Fired,some_shared
133,Sombra,Shots Hit,some_shared
134,Sombra,Shots Missed,some_shared
135,Sombra,Time Alive,general
136,Sombra,Time Building Ultimate,general
137,Sombra,Time Discorded,some_shared
138,Sombra,Time Elapsed per Ultimate Earned,general
139,Sombra,Time Hacked,some_shared
140,Sombra,Time Holding Ultimate,general
141,Sombra,Time Played,general
142,Sombra,Ultimates Earned - Fractional,general
143,Sombra,Ultimates Used,general
144,Sombra,Weapon Accuracy,some_shared
145,Symmetra,Average Players per Teleporter,hero_specific
146,Symmetra,Average Time Alive,general
147,Symmetra,Players Teleported,hero_specific
148,Symmetra,Teleporter Uptime,hero_specific
149,Symmetra,Teleporters Placed,hero_specific
150,Symmetra,Time Alive,general
151,Symmetra,Time Building Ultimate,general
152,Symmetra,Time Elapsed per Ultimate Earned,general
153,Symmetra,Time Played,general
154,Symmetra,Ultimates Earned - Fractional,general
180,Reinhardt,All Damage Done,general
181,Reinhardt,Average Time Alive,general
182,Reinhardt,Barrier Damage Done,general
183,Reinhardt,Damage - Charge,hero_specific
184,Reinhardt,Damage - Earthshatter,hero_specific
185,Reinhardt,Damage - Fire Strike,hero_specific
186,Reinhardt,Damage - Weapon,some_shared
187,Reinhardt,Damage Blocked,some_shared
188,Reinhardt,Damage Taken,general
189,Reinhardt,Deaths,general
190,Reinhardt,Earthshatter Stuns,hero_specific
191,Reinhardt,Eliminations,general
192,Reinhardt,Final Blows,general
193,Reinhardt,Healing Received,general
194,Reinhardt,Hero Damage Done,general
195,Reinhardt,Objective Time,general
196,Reinhardt,Rocket Hammer Melee Accuracy,hero_specific
197,Reinhardt,Rocket Hammer Melee Average Targets,hero_specific
198,Reinhardt,Rocket Hammer Melee Hits,hero_specific
199,Reinhardt,Rocket Hammer Melee Hits - Multiple,hero_specific
200,Reinhardt,Rocket Hammer Melee Ticks,hero_specific
201,Reinhardt,Time Alive,general
202,Reinhardt,Time Building Ultimate,general
203,Reinhardt,Time Elapsed per Ultimate Earned,general
204,Reinhardt,Time Hacked,some_shared
205,Reinhardt,Time Holding Ultimate,general
206,Reinhardt,Time Played,general
207,Reinhardt,Ultimates Earned - Fractional,general
208,Reinhardt,Ultimates Used,general
209,Winston,All Damage Done,general
210,Winston,Assists,general
211,Winston,Average Time Alive,general
212,Winston,Barrier Damage Done,general
213,Winston,Damage - Jump Pack,hero_specific
214,Winston,Damage - Primal Rage Leap,hero_specific
215,Winston,Damage - Primal Rage Melee,hero_specific
216,Winston,Damage - Primal Rage Total,hero_specific
217,Winston,Damage - Quick Melee,some_shared
218,Winston,Damage - Weapon,some_shared
219,Winston,Damage Blocked,some_shared
220,Winston,Damage Taken,general
221,Winston,Deaths,general
222,Winston,Eliminations,general
223,Winston,Environmental Kills,some_shared
224,Winston,Final Blows,general
225,Winston,Healing Received,general
226,Winston,Hero Damage Done,general
227,Winston,Jump Pack Kills,hero_specific
228,Winston,Knockback Kills,some_shared
229,Winston,Melee Final Blows,some_shared
230,Winston,Melee Kills,hero_specific
232,Winston,Objective Kills,general
233,Winston,Objective Time,general
234,Winston,Players Knocked Back,some_shared
235,Winston,Primal Rage Efficiency,hero_specific
236,Winston,Primal Rage Kills,hero_specific
237,Winston,Primal Rage Melee Accuracy,hero_specific
238,Winston,Primal Rage Melee Efficiency,hero_specific
239,Winston,Primal Rage Melee Hits,hero_specific
240,Winston,Primal Rage Melee Hits - Multiple,hero_specific
241,Winston,Primal Rage Melee Ticks,hero_specific
242,Winston,Quick Melee Accuracy,some_shared
243,Winston,Quick Melee Hits,some_shared
244,Winston,Quick Melee Ticks,some_shared
245,Winston,Tesla Cannon Accuracy,hero_specific
246,Winston,Tesla Cannon Efficiency,hero_specific
247,Winston,Tesla Cannon Hits,hero_specific
248,Winston,Tesla Cannon Hits - Multiple,hero_specific
249,Winston,Tesla Cannon Ticks,hero_specific
250,Winston,Time Alive,general
251,Winston,Time Building Ultimate,general
252,Winston,Time Discorded,some_shared
253,Winston,Time Elapsed per Ultimate Earned,general
254,Winston,Time Hacked,some_shared
255,Winston,Time Holding Ultimate,general
256,Winston,Time Played,general
257,Winston,Ultimates Earned - Fractional,general
258,Winston,Ultimates Used,general
259,Winston,Weapon Kills,hero_specific
260,Wrecking Ball,Average Time Alive,general
261,Wrecking Ball,Grappling Claw Uses,hero_specific
262,Wrecking Ball,Roll Uptime,hero_specific
263,Wrecking Ball,Roll Uptime Percentage,hero_specific
264,Wrecking Ball,Roll Uses,hero_specific
265,Wrecking Ball,Time Alive,general
266,Wrecking Ball,Time Building Ultimate,general
267,Wrecking Ball,Time Elapsed per Ultimate Earned,general
268,Wrecking Ball,Time Played,general
269,Wrecking Ball,Ultimates Earned - Fractional,general
295,Ana,All Damage Done,general
296,Ana,Assists,general
297,Ana,Average Time Alive,general
298,Ana,Barrier Damage Done,general
299,Ana,Biotic Grenade Kills,hero_specific
300,Ana,Damage - Biotic Grenade,hero_specific
301,Ana,Damage - Weapon,some_shared
302,Ana,Damage - Weapon Scoped,some_shared
303,Ana,Damage Taken,general
304,Ana,Deaths,general
305,Ana,Defensive Assists,some_shared
306,Ana,Eliminations,general
307,Ana,Final Blows,general
308,Ana,Healing - Biotic Grenade,hero_specific
309,Ana,Healing - Weapon,some_shared
310,Ana,Healing - Weapon Scoped,hero_specific
311,Ana,Healing Amplified,some_shared
312,Ana,Healing Done,some_shared
313,Ana,Healing Received,general
314,Ana,Hero Damage Done,general
315,Ana,Nano Boost Assists,hero_specific
316,Ana,Nano Boost Efficiency,hero_specific
317,Ana,Nano Boosts Applied,hero_specific
318,Ana,Objective Kills,general
319,Ana,Objective Time,general
320,Ana,Offensive Assists,some_shared
321,Ana,Quick Melee Ticks,some_shared
322,Ana,Scoped Accuracy,some_shared
323,Ana,Scoped Hits,some_shared
324,Ana,Scoped Shots,some_shared
325,Ana,Self Healing,some_shared
326,Ana,Self Healing Percent of Damage Taken,some_shared
327,Ana,Shots Fired,some_shared
328,Ana,Shots Hit,some_shared
329,Ana,Shots Missed,some_shared
330,Ana,Sleep Dart Shots,hero_specific
331,Ana,Time Alive,general
332,Ana,Time Building Ultimate,general
333,Ana,Time Elapsed per Ultimate Earned,general
